نماد	تغییر	بازار	گروه
شاوان	6.97	2	23
قصفها	6.97	1	38
وسينا	7.02	1	57
غالبر	7.04	1	42
بهپاك	7.09	2	42
كدما	7.12	1	13
افرا	7.12	2	72
اتكام	7.14	2	66
خپارس	7.15	1	34
غشصفا	7.2	1	42
وسكاب	7.23	1	56
فجر	7.24	1	27
وتجارت	7.25	1	57
رتاپ	7.27	1	72
وبصادر	7.29	1	57
غگلپا	7.3	2	42
ولبهمن	7.3	2	58
شپاس	7.43	2	23
سرود	7.49	1	53
قهكمت	7.51	1	38
حخزر	7.54	2	61
فولاژ	7.57	1	27
بموتو	7.57	1	31
وملل	7.58	2	57
غاذر	7.59	1	42
دسينا	7.79	1	43
رنيك	7.88	2	74
كبافق	8	1	13
كساپا	8	1	54
ومعادن	8.03	1	13
شوينده	8.04	1	44
وپارس	8.1	1	57
واميد	8.18	1	39
ذوب	8.23	2	27
فخاس	8.25	1	27
فرآور	8.35	1	27
بشهاب	8.37	1	31
شراز	8.38	2	23
دلر	8.44	1	43
ارفعح	8.46	2	27
كسعدي	8.46	1	49
شاملا	8.53	1	44
پارسيانح	8.54	1	66
بجهرم	8.55	2	40
شفارس	8.59	1	44
ولساپا	8.65	1	58
سصوفي	8.66	1	53
رانفور	8.67	1	72
غديس	8.69	2	42
لوتوسح	8.69	1	67
ونيكي	8.73	1	56
آپ	8.82	1	72
خگستر	8.83	1	34
شغدير	8.83	2	44
فپنتا	8.86	1	27
سهگمت	8.9	1	53
اوان	8.9	2	73
كفپارس	9.04	1	54
دماوند	9.05	2	40
تپمپي	9.22	1	29
شكلر	9.24	1	44
خرينگ	9.33	1	34
رتكو	9.33	1	74
وهور	9.36	2	40
بكاب	9.47	1	31
قمرو	9.5	1	38
غشان	9.53	1	42
سمگا	9.54	2	55
سفانو	9.55	1	53
ثفارسح	9.65	1	70
كپشير	9.68	1	54
بورس	9.77	1	67
غفارس	9.92	2	42
كالا	9.99	1	67
نطرين	10.09	2	17
وكار	10.27	1	57
قچار	10.35	2	38
ارفع	10.38	2	27
وتوصا	10.4	1	56
وگستر	10.43	2	56
چكاوه	10.48	1	21
زپارس	10.52	1	1
چافست	10.52	1	22
قشكر	10.52	1	38
خموتورح	10.64	1	34
والبرح	11.1	1	43
سهرمزح	13.71	1	53
